code,category
000001.XSHE,股份制银行III
000002.XSHE,房地产开发III
000004.XSHE,横向通用软件III
000006.XSHE,房地产开发III
000007.XSHE,商业物业经营III
000008.XSHE,铁路设备III
000009.XSHE,电池化学品III
000010.XSHE,园林工程III
000011.XSHE,房地产开发III
000012.XSHE,玻璃制造III
000014.XSHE,房地产开发III
000016.XSHE,冰洗III
000017.XSHE,钟表珠宝III
000019.XSHE,粮油加工III
000020.XSHE,显示器件III
000021.XSHE,消费电子零部件及组装III
000025.XSHE,综合III
000026.XSHE,钟表珠宝III
000027.XSHE,火电III
000028.XSHE,医药流通III
000029.XSHE,房地产开发III
000030.XSHE,底盘与发动机系统III
000031.XSHE,商业地产III
000032.XSHE,其他专业工程III
000034.XSHE,IT服务III
000035.XSHE,固废治理III
000036.XSHE,房地产开发III
000037.XSHE,火电III
000039.XSHE,金属制品III
000042.XSHE,房地产开发III
000045.XSHE,显示器件III
000048.XSHE,生猪养殖III
000049.XSHE,锂电池III
000050.XSHE,显示器件III
000055.XSHE,其他建材III
000056.XSHE,物业管理III
000058.XSHE,商业物业经营III
000059.XSHE,炼油化工III
000060.XSHE,铅锌III
000061.XSHE,商业物业经营III
000062.XSHE,其他电子III
000063.XSHE,通信网络设备及器件III
000065.XSHE,国际工程承包III
000066.XSHE,其他计算机设备III
000068.XSHE,综合环境治理III
000069.XSHE,商业地产III
000070.XSHE,通信线缆及配套III
000078.XSHE,医药流通III
000088.XSHE,港口III
000089.XSHE,机场III
000090.XSHE,房地产开发III
000096.XSHE,油品石化贸易III
000099.XSHE,航空运输III
000100.XSHE,显示器件III
000151.XSHE,贸易III
000153.XSHE,化学制剂III
000155.XSHE,风力发电III
000156.XSHE,电视广播III
000157.XSHE,工程机械整机III
000158.XSHE,IT服务III
000159.XSHE,光伏辅材III
000166.XSHE,证券III
000301.XSHE,炼油化工III
000333.XSHE,空调III
000338.XSHE,底盘与发动机系统III
000400.XSHE,电网自动化III
000401.XSHE,水泥制造III
000402.XSHE,商业地产III
000403.XSHE,血液制品III
000404.XSHE,家电零部件III
000407.XSHE,燃气III
000408.XSHE,锂III
000409.XSHE,IT服务III
000410.XSHE,机床工具III
000411.XSHE,医药流通III
000415.XSHE,租赁III
000417.XSHE,多业态零售III
000419.XSHE,多业态零售III
000420.XSHE,粘胶III
000421.XSHE,综合III
000422.XSHE,氮肥III
000423.XSHE,中药III
000425.XSHE,工程机械整机III
000426.XSHE,铅锌III
000428.XSHE,酒店III
000429.XSHE,高速公路III
000430.XSHE,自然景点III
000488.XSHE,大宗用纸III
000498.XSHE,基建市政工程III
000501.XSHE,百货III
000503.XSHE,垂直应用软件III
000504.XSHE,其他医疗服务III
000505.XSHE,粮油加工III
000506.XSHE,黄金III
000507.XSHE,风力发电III
000509.XSHE,显示器件III
000510.XSHE,氯碱III
000513.XSHE,化学制剂III
000514.XSHE,房地产开发III
000516.XSHE,医院III
000517.XSHE,房地产开发III
000518.XSHE,其他生物制品III
000519.XSHE,地面兵装III
000520.XSHE,航运III
000521.XSHE,冰洗III
000523.XSHE,综合III
000524.XSHE,旅游综合III
000525.XSHE,农药III
000526.XSHE,培训教育III
000528.XSHE,工程机械整机III
000529.XSHE,肉制品III
000530.XSHE,制冷空调设备III
000531.XSHE,火电III
000532.XSHE,资产管理III
000533.XSHE,输变电设备III
000534.XSHE,其他生物制品III
000536.XSHE,显示器件III
000537.XSHE,风力发电III
000538.XSHE,中药III
000539.XSHE,火电III
000541.XSHE,照明设备III
000543.XSHE,火电III
000544.XSHE,水务及水治理III
000545.XSHE,钛白粉III
000546.XSHE,固废治理III
000547.XSHE,军工电子III
000548.XSHE,高速公路III
000550.XSHE,商用载货车III
000551.XSHE,环保设备III
000552.XSHE,动力煤III
000553.XSHE,农药III
000554.XSHE,油品石化贸易III
000555.XSHE,IT服务III
000557.XSHE,铁路运输III
000558.XSHE,自然景点III
000559.XSHE,底盘与发动机系统III
000560.XSHE,房产租赁经纪III
000561.XSHE,航空装备III
000563.XSHE,信托III
000564.XSHE,百货III
000565.XSHE,涂料油漆油墨制造III
000566.XSHE,化学制剂III
000567.XSHE,资产管理III
000568.XSHE,白酒III
000570.XSHE,底盘与发动机系统III
000571.XSHE,动力煤III
000572.XSHE,综合乘用车III
000573.XSHE,房地产开发III
000576.XSHE,地面兵装III
000581.XSHE,底盘与发动机系统III
000582.XSHE,港口III
000586.XSHE,通信线缆及配套III
000589.XSHE,轮胎轮毂III
000590.XSHE,中药III
000591.XSHE,光伏发电III
000592.XSHE,林业III
000593.XSHE,燃气III
000595.XSHE,金属制品III
000596.XSHE,白酒III
000597.XSHE,化学制剂III
000598.XSHE,水务及水治理III
000599.XSHE,轮胎轮毂III
000600.XSHE,火电III
