code,date,weight
301272,2025-08-08,0.1
301568,2025-08-08,0.1
688585,2025-08-08,0.1
300236,2025-08-08,0.1
301603,2025-08-08,0.1
002837,2025-08-08,0.1
300967,2025-08-08,0.1
300322,2025-08-08,0.1
300486,2025-08-08,0.1
300480,2025-08-08,0.1
300843,2025-08-11,0.1
301272,2025-08-11,0.1
300491,2025-08-11,0.1
300724,2025-08-11,0.1
688228,2025-08-11,0.1
300913,2025-08-11,0.1
688585,2025-08-11,0.1
301123,2025-08-11,0.1
300394,2025-08-11,0.1
301018,2025-08-11,0.1
300843,2025-08-12,0.1
301272,2025-08-12,0.1
300476,2025-08-12,0.1
301183,2025-08-12,0.1
300491,2025-08-12,0.1
688205,2025-08-12,0.1
300548,2025-08-12,0.1
301568,2025-08-12,0.1
300913,2025-08-12,0.1
688585,2025-08-12,0.1
300843,2025-08-13,0.1
301272,2025-08-13,0.1
300476,2025-08-13,0.1
301183,2025-08-13,0.1
300491,2025-08-13,0.1
688205,2025-08-13,0.1
300548,2025-08-13,0.1
300724,2025-08-13,0.1
301568,2025-08-13,0.1
300913,2025-08-13,0.1
300843,2025-08-14,0.1
300476,2025-08-14,0.1
301183,2025-08-14,0.1
300491,2025-08-14,0.1
300548,2025-08-14,0.1
300724,2025-08-14,0.1
301568,2025-08-14,0.1
300913,2025-08-14,0.1
688585,2025-08-14,0.1
300502,2025-08-14,0.1
301272,2025-08-15,0.1
301526,2025-08-15,0.1
300491,2025-08-15,0.1
300548,2025-08-15,0.1
300724,2025-08-15,0.1
300913,2025-08-15,0.1
688585,2025-08-15,0.1
300502,2025-08-15,0.1
301123,2025-08-15,0.1
301018,2025-08-15,0.1
300843,2025-08-18,0.1
301272,2025-08-18,0.1
300476,2025-08-18,0.1
301526,2025-08-18,0.1
301183,2025-08-18,0.1
300491,2025-08-18,0.1
688205,2025-08-18,0.1
300548,2025-08-18,0.1
300724,2025-08-18,0.1
301568,2025-08-18,0.1
301272,2025-08-19,0.1
300476,2025-08-19,0.1
301526,2025-08-19,0.1
301183,2025-08-19,0.1
300491,2025-08-19,0.1
300548,2025-08-19,0.1
688228,2025-08-19,0.1
301568,2025-08-19,0.1
688585,2025-08-19,0.1
300502,2025-08-19,0.1
300843,2025-08-20,0.1
301272,2025-08-20,0.1
688205,2025-08-20,0.1
300548,2025-08-20,0.1
300724,2025-08-20,0.1
688585,2025-08-20,0.1
300502,2025-08-20,0.1
301123,2025-08-20,0.1
688502,2025-08-20,0.1
688077,2025-08-20,0.1
300843,2025-08-21,0.1
301272,2025-08-21,0.1
300476,2025-08-21,0.1
301526,2025-08-21,0.1
301183,2025-08-21,0.1
688205,2025-08-21,0.1
300548,2025-08-21,0.1
300724,2025-08-21,0.1
688228,2025-08-21,0.1
301568,2025-08-21,0.1
300843,2025-08-22,0.1
300476,2025-08-22,0.1
301183,2025-08-22,0.1
688205,2025-08-22,0.1
300548,2025-08-22,0.1
300724,2025-08-22,0.1
688228,2025-08-22,0.1
300913,2025-08-22,0.1
688585,2025-08-22,0.1
300502,2025-08-22,0.1
300843,2025-08-25,0.1
301272,2025-08-25,0.1
300476,2025-08-25,0.1
301183,2025-08-25,0.1
300491,2025-08-25,0.1
688205,2025-08-25,0.1
300724,2025-08-25,0.1
688228,2025-08-25,0.1
301568,2025-08-25,0.1
300913,2025-08-25,0.1
300843,2025-08-26,0.1
301272,2025-08-26,0.1
300476,2025-08-26,0.1
301526,2025-08-26,0.1
301183,2025-08-26,0.1
688205,2025-08-26,0.1
300724,2025-08-26,0.1
688228,2025-08-26,0.1
300913,2025-08-26,0.1
688585,2025-08-26,0.1
300843,2025-08-27,0.1
301272,2025-08-27,0.1
300476,2025-08-27,0.1
301526,2025-08-27,0.1
301183,2025-08-27,0.1
688205,2025-08-27,0.1
300724,2025-08-27,0.1
688228,2025-08-27,0.1
300913,2025-08-27,0.1
300548,2025-08-27,0.1
