date,instrument,base_score
2023-01-01,000001.SZ,0.8
2023-01-01,000002.SZ,0.6
2023-01-01,000003.SZ,0.7
2023-01-01,000004.SZ,0.5
2023-01-01,000005.SZ,0.9
2023-01-02,000001.SZ,0.7
2023-01-02,000002.SZ,0.8
2023-01-02,000003.SZ,0.6
2023-01-02,000004.SZ,0.9
2023-01-02,000005.SZ,0.5
2023-01-03,000001.SZ,0.9
2023-01-03,000002.SZ,0.7
2023-01-03,000003.SZ,0.8
2023-01-03,000004.SZ,0.6
2023-01-03,000005.SZ,0.5
2023-01-04,000001.SZ,0.6
2023-01-04,000002.SZ,0.9
2023-01-04,000003.SZ,0.7
2023-01-04,000004.SZ,0.8
2023-01-04,000005.SZ,0.5
2023-01-05,000001.SZ,0.8
2023-01-05,000002.SZ,0.6
2023-01-05,000003.SZ,0.9
2023-01-05,000004.SZ,0.7
2023-01-05,000005.SZ,0.5
